REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
South East,West Berkshire,Chinese,6,x,6,x,6,6,6,x,6,x,x,x,1,x,x
South East,Reading,,1478,984,1478,1135,1477,1010,1478,1094,1477,822,0.665764547,0.767929635,0.683818551,0.740189445,0.556533514
South East,Reading,White,829,558,829,630,828,551,829,596,828,456,0.673100121,0.759951749,0.665458937,0.71893848,0.550724638
South East,Reading,Mixed,172,113,172,126,172,110,172,123,172,90,0.656976744,0.73255814,0.639534884,0.715116279,0.523255814
South East,Reading,Asian,299,205,299,245,299,238,299,245,299,188,0.685618729,0.819397993,0.795986622,0.819397993,0.628762542
South East,Reading,Black,135,78,135,100,135,80,135,99,135,61,0.577777778,0.740740741,0.592592593,0.733333333,0.451851852
South East,Reading,Chinese,5,x,5,x,5,x,5,x,5,x,x,x,x,x,x
South East,Slough,,1958,1257,1954,1550,1958,1427,1958,1508,1954,1067,0.641981614,0.793244626,0.728804903,0.770173647,0.546059365
South East,Slough,White,611,348,609,437,611,395,611,410,609,277,0.569558101,0.717569787,0.646481178,0.671031097,0.454844007
South East,Slough,Mixed,164,116,163,133,164,120,164,127,163,93,0.707317073,0.81595092,0.731707317,0.774390244,0.570552147
South East,Slough,Asian,888,618,887,750,888,703,888,750,887,552,0.695945946,0.845546787,0.791666667,0.844594595,0.622322435
South East,Slough,Black,208,122,208,162,208,139,208,150,208,99,0.586538462,0.778846154,0.668269231,0.721153846,0.475961538
South East,Slough,Chinese,4,x,4,x,4,x,4,x,4,x,x,x,x,x,x
South East,Wokingham,,1868,1414,1868,1407,1868,1446,1868,1536,1868,1140,0.756959315,0.753211991,0.774089936,0.822269807,0.610278373
South East,Wokingham,White,1406,1059,1406,1045,1406,1066,1406,1138,1406,838,0.753200569,0.743243243,0.758179232,0.809388336,0.59601707
South East,Wokingham,Mixed,125,95,125,85,125,90,125,97,125,70,0.76,0.68,0.72,0.776,0.56
South East,Wokingham,Asian,240,186,240,203,240,210,240,220,240,170,0.775,0.845833333,0.875,0.916666667,0.708333333
South East,Wokingham,Black,45,36,45,36,45,37,45,38,45,30,0.8,0.8,0.822222222,0.844444444,0.666666667
South East,Wokingham,Chinese,18,15,18,x,18,x,18,x,18,14,0.833333333,x,x,x,0.777777778
South East,Kent,,16077,11233,16076,12877,16077,11522,16077,11722,16076,9416,0.698700006,0.801007713,0.716675997,0.729116129,0.58571784
South East,Kent,White,14066,9733,14065,11146,14066,9908,14066,10037,14065,8066,0.691952225,0.792463562,0.704393573,0.713564624,0.57348027
South East,Kent,Mixed,769,595,769,654,769,596,769,631,769,511,0.77373212,0.850455137,0.77503251,0.820546164,0.66449935
South East,Kent,Asian,597,450,597,534,597,507,597,527,597,422,0.753768844,0.894472362,0.849246231,0.882747069,0.706867672
South East,Kent,Black,359,259,359,313,359,290,359,303,359,236,0.721448468,0.871866295,0.807799443,0.844011142,0.657381616
South East,Kent,Chinese,40,36,40,37,40,x,40,37,40,36,0.9,0.925,x,0.925,0.9
South East,Medway,,3088,1902,3087,2283,3088,1997,3087,2057,3087,1500,0.615932642,0.739552964,0.646696891,0.666342728,0.485908649
South East,Medway,White,2523,1528,2523,1819,2523,1585,2523,1611,2523,1173,0.60562822,0.720967103,0.628220373,0.638525565,0.464922711
South East,Medway,Mixed,220,128,219,166,220,145,220,155,219,108,0.581818182,0.757990868,0.659090909,0.704545455,0.493150685
South East,Medway,Asian,126,87,126,110,126,101,126,107,126,83,0.69047619,0.873015873,0.801587302,0.849206349,0.658730159
South East,Medway,Black,154,118,154,141,154,122,153,137,154,100,0.766233766,0.915584416,0.792207792,0.895424837,0.649350649
South East,Medway,Chinese,14,10,14,x,14,x,14,x,14,10,0.714285714,x,x,x,0.714285714
South East,Isle of Wight,,1327,848,1327,979,1327,831,1327,853,1327,648,0.639035418,0.737754333,0.626224567,0.642803316,0.488319518
South East,Isle of Wight,White,1276,821,1276,945,1276,799,1276,822,1276,625,0.643416928,0.740595611,0.626175549,0.644200627,0.489811912
South East,Isle of Wight,Mixed,35,21,35,25,35,25,35,24,35,17,0.6,0.714285714,0.714285714,0.685714286,0.485714286
South East,Isle of Wight,Asian,9,3,9,5,9,3,9,5,9,3,0.333333333,0.555555556,0.333333333,0.555555556,0.333333333
South East,Isle of Wight,Black,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
